"","Cell","Batch","Group","ExpLibSize"
"Cell1935","Cell1935","Batch1","Group2",70067.9231076693
"Cell1936","Cell1936","Batch1","Group4",46607.9039296304
"Cell1937","Cell1937","Batch1","Group3",45943.4701074239
"Cell1938","Cell1938","Batch1","Group5",33069.0594814109
"Cell1939","Cell1939","Batch1","Group1",38363.2927939546
"Cell1940","Cell1940","Batch1","Group5",54812.2597244378
"Cell1941","Cell1941","Batch1","Group2",61385.4936038619
"Cell1942","Cell1942","Batch1","Group4",55826.3106052765
"Cell1943","Cell1943","Batch1","Group2",40916.9687353668
"Cell1944","Cell1944","Batch1","Group2",47533.5535706441
"Cell1945","Cell1945","Batch1","Group6",51131.872264101
"Cell1946","Cell1946","Batch1","Group3",71673.7933534483
"Cell1947","Cell1947","Batch1","Group1",63780.8329244858
"Cell1948","Cell1948","Batch1","Group2",50746.7342442961
"Cell1949","Cell1949","Batch1","Group1",43351.0364714372
"Cell1950","Cell1950","Batch1","Group4",57913.9505095526
"Cell1951","Cell1951","Batch1","Group6",41970.4725552197
"Cell1952","Cell1952","Batch1","Group6",52397.9735554864
"Cell1953","Cell1953","Batch1","Group6",56297.5888327006
"Cell1954","Cell1954","Batch1","Group1",76458.6295284496
"Cell1955","Cell1955","Batch1","Group6",71623.0660444501
"Cell1956","Cell1956","Batch1","Group3",62366.3416756559
"Cell1957","Cell1957","Batch1","Group4",57342.6708514138
"Cell1958","Cell1958","Batch1","Group6",54306.4745581878
"Cell1959","Cell1959","Batch1","Group2",67535.6214428547
"Cell1960","Cell1960","Batch1","Group2",45305.3296693348
"Cell1961","Cell1961","Batch1","Group6",55779.8106046993
"Cell1962","Cell1962","Batch1","Group3",76589.0898623008
"Cell1963","Cell1963","Batch1","Group4",50884.7644422257
"Cell1964","Cell1964","Batch1","Group5",44119.8716242916
"Cell1965","Cell1965","Batch1","Group1",59885.077576409
"Cell1966","Cell1966","Batch1","Group2",63515.0129217053
"Cell1967","Cell1967","Batch1","Group3",84230.0911255251
"Cell1968","Cell1968","Batch1","Group6",49936.1661599445
"Cell1969","Cell1969","Batch1","Group2",53888.7619999421
"Cell1970","Cell1970","Batch1","Group4",76726.4448690756
"Cell1971","Cell1971","Batch1","Group1",56750.4937736041
"Cell1972","Cell1972","Batch1","Group3",63630.4411897144
"Cell1973","Cell1973","Batch1","Group5",65779.3140098184
"Cell1974","Cell1974","Batch1","Group3",77438.4289844017
"Cell1975","Cell1975","Batch1","Group1",71926.1697679525
"Cell1976","Cell1976","Batch1","Group5",59385.5058949931
"Cell1977","Cell1977","Batch1","Group6",46266.2225213009
"Cell1978","Cell1978","Batch1","Group5",58932.0595321659
"Cell1979","Cell1979","Batch1","Group1",69423.3788263806
"Cell1980","Cell1980","Batch1","Group6",77292.4876925594
"Cell1981","Cell1981","Batch1","Group6",68393.0550036456
"Cell1982","Cell1982","Batch1","Group2",44155.0211581145
"Cell1983","Cell1983","Batch1","Group3",61404.8819976698
"Cell1984","Cell1984","Batch1","Group3",47749.485758712
"Cell1985","Cell1985","Batch1","Group4",54421.5205475793
"Cell1986","Cell1986","Batch1","Group3",48064.8029630373
"Cell1987","Cell1987","Batch1","Group1",84245.3347912927
"Cell1988","Cell1988","Batch1","Group6",57709.6341414014
"Cell1989","Cell1989","Batch1","Group1",86880.1832277046
"Cell1990","Cell1990","Batch1","Group6",42259.7589317743
"Cell1991","Cell1991","Batch1","Group6",51190.4625697422
"Cell1992","Cell1992","Batch1","Group1",70196.5264810064
"Cell1993","Cell1993","Batch1","Group2",53827.8353479554
"Cell1994","Cell1994","Batch1","Group6",89068.4869025466
"Cell1995","Cell1995","Batch1","Group1",52556.2822336994
"Cell1996","Cell1996","Batch1","Group3",38894.4787974545
"Cell1997","Cell1997","Batch1","Group2",58782.2078560092
"Cell1998","Cell1998","Batch1","Group3",55299.5459385324
"Cell1999","Cell1999","Batch1","Group3",58240.3993306417
"Cell2000","Cell2000","Batch1","Group1",50759.1410629989
